id	author name	title catalog	vols	pub date	pub location
260790		Shakespeare\\\'s jest book / [edited by Samuel Weller Singer].	1	1814	Chiswick
260791	Ellis, George	Specimens of early English metrical romances : chiefly written during the early part of the fourteenth century ; to which is prefixed an historical introduction, intended to illustrate the rise and progress of romantic composition in France and England / by George Ellis, esq.	3	1811	London
260792	Harington, John	The metamorphosis of Ajax : a cloacinean satire, with the Anatomy and Apology, to which is added, Ulysses upon Ajax.	1	1814	Chiswick
260793	Painter, William	The palace of pleasure, beautified, adorned, and well furnished with pleasant histories and excellent novels, very requisite for delight and profit : Chosen and selected out of divers good and commendable authors.	2	1813	London
260794	Scott, Walter	Tales of my landlord : third series / collected and arranged  by Jedediah Cleishbotham.	4	1819	Edinburgh
260795	Scott, Walter	Tales of my landlord : third series / collected and arranged  by Jedediah Cleishbotham.	4	1819	Edinburgh
260796	Fielding, Henry	The works of Henry Fielding, esq., with An essay on his life and genius/ by Arthur Murphy, Esq.	14	1813	New York
260797	Swift, Jonathan	The works of the Rev. Jonathan Swift, D.D., Dean of St. Patrick\\\'s, Dublin / Arranged by Thomas Sheridan, A.M. with notes, historical and critical.	24	1812	New York
260798		Munchausen at Walcheren, or, A continuation of the renowned Barons surprising travels, adventures, expeditions, and exploits, at Walcheren, The Dardanelles, Talavera, Cintra, &c. &c. his various combats with Eastern armies: and the particulars of a wonderful turtle-feast with Sir W...... C...... on board his yacht, when preparing to attack Flushing. Written by himself.	1	1811	London
260799	Porter, Jane	The Scottish chiefs : a romance, in five volumes / by Miss Jane Porter.	5	1811	London
260800		The Spirit of ""The book"", or, Memoirs of Caroline, princess of Hasburgh : a political and amatory romance / edited by Thomas Ashe."	3	1811	London
260801		Christmas tales : for the amusement and instruction of young ladies and gentlemen in winter evenings.	1	1811	York
260802	Scott, Walter	Tales of my landlord : second series / collected and arranged  by Jedediah Cleishbotham.	4	1818	Edinburgh
260803	Scott, Walter	Tales of my landlord : second series / collected and arranged  by Jedediah Cleishbotham.	4	1818	Edinburgh
260804	Scott, Walter	Tales of my landlord / collected and arranged by Jedediah Cleishbotham.	4	1816	Edinburgh
260806	Battersby, John	Tell-tale sophas : an eclectic fable in three volumes : Founded on anecdotes, foreign and domestic / By John Battersby.	3	1814	London
260807	Barrett, Eaton Stannard	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.	3	1815	London
260808	Barrett, Eaton Stannard	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.	3	1815	London
260809	Barrett, Eaton Stannard	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.	3	1815	London
260810	Corp, Harriet	An antidote to the miseries of human life in the history of the     widow Placid and her daughter Rachel.	1	1810	London
260811	Brackenridge, H. H	Modern chivalry : containing the adventures of a captain and     Teague O\\\'Regan, his servant / By H. H. Brackenridge, ... With the last corrections and additions of the author. ...	2	1819	Pittsburgh
260812	Vandelure, John	A narrative of the travels of John Vandeluer, on the western continent : Containing an account of the conversion of an Indian chief and his family to Christianity : Being a letter written to his uncle in Philadelphia in the year 1796.	1	1817	Hallowell
260813	Fielding, Henry	The history of Tom Jones, a foundling : In four volumes / by Henry Fielding, Esq.	4	1749	London
260815	Erskine, Thomas Erskine	Armata : a fragment.	1	1818	London
260816	Erskine, Thomas Erskine	The second part of Armata.	1	1818	London
260817	Goldsmith, Oliver	The vicar of Wakefield : a tale.	1	1810	Philadelphia
