id	author name	title catalog	vols	pub date	pub location
260800		The Spirit of ""The book"", or, Memoirs of Caroline, princess of Hasburgh : a political and amatory romance / edited by Thomas Ashe."	3	1811	London
260801		Christmas tales : for the amusement and instruction of young ladies and gentlemen in winter evenings.	1	1811	York
260802	Scott, Walter	Tales of my landlord : second series / collected and arranged  by Jedediah Cleishbotham.	4	1818	Edinburgh
260803	Scott, Walter	Tales of my landlord : second series / collected and arranged  by Jedediah Cleishbotham.	4	1818	Edinburgh
260804	Scott, Walter	Tales of my landlord / collected and arranged by Jedediah Cleishbotham.	4	1816	Edinburgh
260806	Battersby, John	Tell-tale sophas : an eclectic fable in three volumes : Founded on anecdotes, foreign and domestic / By John Battersby.	3	1814	London
260807	Barrett, Eaton Stannard	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.	3	1815	London
260808	Barrett, Eaton Stannard	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.	3	1815	London
260809	Barrett, Eaton Stannard	The heroine, or, Adventures of Cherubina / by Eaton Stannard Barrett.	3	1815	London
260810	Corp, Harriet	An antidote to the miseries of human life in the history of the     widow Placid and her daughter Rachel.	1	1810	London
260811	Brackenridge, H. H	Modern chivalry : containing the adventures of a captain and     Teague O\\\'Regan, his servant / By H. H. Brackenridge, ... With the last corrections and additions of the author. ...	2	1819	Pittsburgh
260812	Vandelure, John	A narrative of the travels of John Vandeluer, on the western continent : Containing an account of the conversion of an Indian chief and his family to Christianity : Being a letter written to his uncle in Philadelphia in the year 1796.	1	1817	Hallowell
260815	Erskine, Thomas Erskine	Armata : a fragment.	1	1818	London
260816	Erskine, Thomas Erskine	The second part of Armata.	1	1818	London
260817	Goldsmith, Oliver	The vicar of Wakefield : a tale.	1	1810	Philadelphia
260818		The adulteress, or, Anecdotes of two noble families : A tale : In four volumes / By an English-woman.	4	1810	London
260819	Opie, Amelia Alderson	Temper, or, Domestic scenes : a tale, in three volumes / by Mrs. Opie.	3	1812	London
260820	Ashe, Thomas	The liberal critic, or, Memoirs of Henry Percy : conveying a     correct estimate of the manners and principles of the present times/ By      Thomas Ashe, Esq.	3	1812	London
260821	Manvill, P.D	Lucinda, or, The mountain mourner : Being recent facts in a series of letters / from Mrs. Manvill, in the State of New-York, to her sister in Pennsylvania.	1	1817	Ballston Spa, NY :
260822	Paltock, Robert	The life & adventures of Peter Wilkins, a Cornish man : taken from his own mouth, in his passage to England, from off Cape Horn in America, in the ship Hector / by R.S., a passenger in the Hector.	2	1816	London
260823		The Arabian nights entertainments : carefully revised, and occasionally corrected from the Arabic : to which is added, a selection of new tales, now first translated from the Arabic originals, also, an introduction and notes, illustrative of the religion, manners and customs, of the Mahummedans / by Jonathan Scott.	6	1811	London
260824		The Arabian nights entertainments : carefully revised, and occasionally corrected from the Arabic : to which is added, a selection of new tales, now first translated from the Arabic originals, also, an introduction and notes, illustrative of the religion, manners and customs, of the Mahummedans / by Jonathan Scott.	6	1811	London
260825	Bigelow, Jacob	The wars of the gulls : an historical romance : In three chapters.	1	1812	New York
260826	Jacson, Frances	Rhoda : a novel / By the author of ""Things by their right names"" and ""Plain sense."	3	1816	London
260827	De Lourdoueix, M	Charenton, or, The follies of the age : a philosophical romance  / by M. de Lourdoueix ; translated from the French.	1	1818	London
260828	Brackenridge, H. H	Modern chivalry : containing the adventures of a captain, and Teague O\\\'Regan, his servant / By H.H. Brackenridge.	1	1815	Wilmington :
260830	Surr, T. S	The magic of wealth : a novel / by T. S. Surr.	3	1815	London
260831	West	The loyalists : an historical novel / by the author of ""Letters to a young man,"" ""A tale of the times,"" &c."	3	1812	London
260832	West	The loyalists : an historical novel / by the author of ""Letters to a young man,"" ""A tale of the times,"" &c."	3	1812	London
260833	Scott, Walter	Rob Roy / by the author of ""Waverley,"" ""Guy Mannering,"" and ""The antiquary."	3	1818	Edinburgh
260834	Scott, Walter	Rob Roy / by the author of ""Waverley,"" ""Guy Mannering,"" and ""The antiquary."	3	1818	Edinburgh
260835	Scott, Walter	The antiquary / by the author of ""Waverley"" and ""Guy Mannering."	3	1816	Edinburgh
260836	Scott, Walter	The antiquary / by the author of ""Waverley"" and ""Guy Mannering."	3	1816	Edinburgh
260837	Scott, Walter	The antiquary / by the author of ""Waverley"" and ""Guy Mannering."	3	1816	Edinburgh
260838	Burney, Sarah Harriet	Traits of nature / by Miss Burney, author of Clarentine, Geraldine Fauconberg, &c.	4	1812	London
260842	Brown, Thomas	Brighton, or, The Steyne : a satirical novel in three volumes.	3	1818	London
260843	Roche, Regina Maria	Anna, or, Edinburgh : a novel in two volumes / by Mrs. Roche.	2	1815	London
260844	Brown, Thomas	Bath : a satirical novel, with portraits / by Thomas Brown, the Elder.	3	1818	London
260845	Gunning	The man of fashion : a tale of modern times / by the late Miss Gunning.	2	1815	London
260846	Appleton	Edgar : a national tale / by Miss Appleton.	3	1816	London
260847		Robin Hood : a tale of the olden time : in two volumes.	2	1819	Edinburgh
260848		The ordeal : a novel : in three volumes.	3	1813	London
260850	Bury, Charlotte Campbell	Self-indulgence : a tale of the nineteenth century.	2	1812	Edinburgh
260851	Benson, Maria	The carriage / by Maria Benson.	1	1819	London
260852	Barrett, Eaton Stannard	Six weeks at Long\\\'s / by a late resident.	3	1817	London
260853	Benson, Maria	The wife : a novel : in three volumes / by Maria Benson.	3	1810	London
260855	Colman, George	The history of Elsmere and Rosa : an episode / the merry matter written by John Mathers; the grave by a solid gentleman.	2	1817	London
260857	Brooke, Frances	Manners : a novel.	3	1817	London
260858	Macneill, Hector	The Scottish adventurers, or, the way to rise : an historical tale / by Hector Macneill.	2	1812	Edinburgh
260859		Anne of Brittany : an historical romance.	3	1811	New York
260860	Jacson, Frances	Things by their right names : a novel / by a person without a name.	2	1812	London
260861	Ross	The bachelor and the married man, or The equilibrium of the ""balance of comfort."	3	1817	London
260862		Rosamund, Countess of Clarenstein.	3	1812	London
260863	Bigelow, Jacob	Varieties in woman : a novel.	3	1819	London
260868		The British novelists : with an essay, and prefaces, biographical and criticial / by Mrs. Barbauld.	50	1810	
260869	Richardson, Samuel	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage.	8	1810	London
260870	Richardson, Samuel	The history of Sir Charles Grandison : in a series of letters / Samuel Richardson.	7	1810	London
260871	Defoe, Daniel	The life and surprising adventures of Robinson Crusoe, of York, mariner : who lived eight-and-twenty years, all alone, on an uninhabited island, near the mouth of the great river Oroonoque : With an account of his travels round three parts of the globe / Written by himself.	2	1810	London
260872	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend, Mr. Abraham Adams : Written in imitation of the manner of Cervantes ... / by Henry Fielding.	1	1810	London
260873	Fielding, Henry	The history of Tom Jones, a foundling / Henry Fielding.	3	1810	London
260874	Reeve, Clara	The Old English Baron : a Gothic story / [Clara Reeve]. The Castle of Otranto : a Gothic story / Horace Walpole, Earl of Orford.	1	1810	London
260875	Coventry, Francis	The history of Pompey the Little, or the life and adventures of a lap-dog / by Mrs. Coventry. The Vicar of Wakefield : a tale. By Dr. Goldsmith.	1	1810	London
260876	Lennox, Charlotte	The female Quixote, or The adventures of Arabella / by Mrs. Lennox.	2	1810	London
260877	Johnson, Samuel	The history of Rasselas, prince of Abissinia / By Samuel Johnson. Almoran and Hamet : An oriental tale / By Dr. Hawkesworth.	1	1810	London
260879	Inchbald	A simple story / by Mrs. Inchbald.	1	1810	London
260880	Mackenzie, Henry	The man of feeling : and Julia de Roubigné, a tale, in a  series of letters / by Henry Mackenzie, esq.	1	1810	London
260881	Smollett, Tobias George	The expedition of Humphry Clinker / by the author of Roderick Random.	2	1810	London
260882	Graves, Richard	The spiritual Quixote, or the summers̕ ramble of Mr. Geoffry   Wildgoose : a comic romance to which is prefixed the life of the author.	2	1810	London
260883	Moore, John	Zeluco : various views of human nature, taken from life and  manners, foreign and domestic / by Dr. Moore.	2	1810	London
260884	Smith, Charlotte Turner	The old manor house / By Charlotte Smith.	2	1810	London
260885	Burney, Fanny	Evelina, or, The history of a young lady\\\'s introduction to the world.	2	1810	London
260886	Burney, Fanny	Cecilia, or, Memoirs of an heiress / by the author of Evelina.	3	1810	London
260887	Radcliffe, Ann Ward	The romance of the forest : interspersed with some pieces of poetry / by the authoress of ""A Sicilian romance,"" &c."	2	1810	London
260888	Radcliffe, Ann Ward	The mysteries of Udolpho : a romance : interspersed with some    pieces of poetry / by Ann Radcliffe.	3	1810	London
260889	Bage, Robert	Man as he is not ; or, Hermsprong / Robert Bage.	1	1810	London
260890	Edgeworth, Maria	Belinda / Maria Edgeworth.	2	1810	London
260891	Paulding, James Kirke	Letters from the South : written during an excursion in the summer of 1816 / by the author of John Bull and Brother Jonathan, &c. &c.	2	1817	New York
260892	Bloomfield, Obadiah Benjamin Franklin	The life and adventures of Obadiah Benjamin Franklin Bloomfield, M.D. : a native of the United States of America, now on the tour of Europe : interspersed with episodes, and remarks, religious, moral, public spirited, and humorous / written by himself.	1	1818	Philadelphia
260893	Graham, Elizabeth Susanna Davenport	Voyage to Locuta : a fragment, with etchings and notes of illustration : dedicated to Theresa Tidy ... / by Lemuel Gulliver, Jun.	1	1818	London
260894	Agg, John	A month in town : a satirical novel / by Humphrey Hedgehog.	3	1816	London
260897		The spirit of ""The book"" or, Memoirs of Caroline princess of        Hasburg : a political and amatory romance : In one volume / Edited by     Thomas Ashe, Esq."	1	1812	Philadelphia
260898	Balfour, Alexander	Campbell, or, The Scottish probationer : a novel.	3	1819	Edinburgh
260899	Dacre, Charlotte	The passions : in four volumes / by Rosa Matilda.	4	1811	London
260900	Brooke, Frances	A year and a day : a novel / by Madame Panache.	2	1818	London
260903	Ferrier, Susan	Marriage : a novel.	3	1818	Edinburgh
260904	Godwin, William	Mandeville : a tale of the seventeenth century in England / by William Godwin.	2	1818	New York
260905	Godwin, William	Mandeville : a tale of the seventeenth cenutry in England / by William Godwin.	3	1817	Edinburgh
260906	Hamilton, Elizabeth	The cottagers of Glenburnie : a tale for the farmer\\\'s fire-side / by Elizabeth Hamilton.	1	1812	Philadelphia
260907	Hamilton, Elizabeth	The cottagers of Glenburnie : a tale for the farmer\\\'s fire-side / by Elizabeth Hamilton.	1	1812	Philadelphia
260909	Hutton, Catherine	The Welsh mountaineer : a novel / by Catharine Hutton.	2	1817	Philadelphia
260910	Argus, Arabella	The juvenile spectator : being observations on the tempers, manners, and foibles of various young persons : interspersed with such lively   matter as it is presumed will amuse as well as instruct / by Arabella Argus.	1	1810	London
260911		Letters of an Italian nun and an English gentleman / translated from the French of J.J. Rousseau.	1	1817	London
260912		Lionel, or, The last of the Pevenseys : a novel.	3	1818	London
260915	Serres, Olivia Wilmot	Memoirs of a princess, or, First love : an historical romance / by Olivia W. S----, author of ""The book."	2	1812	London
260916		Fatherless Fanny, or, A young lady\\\'s first entrance into life : being the memoirs of a little mendicant and her benefactors / by the author of The old English baron, &c. &c.	1	1816	Sheffield
260917	Jacson, Frances	Rhoda : a novel / by the author of ""Things by their right names,"" ""Plain sense,"" &c."	3	1816	London
