id	title	author	date	a	b	v	x
376395	Calavar; or, the knight of the conquest: a romance of Mexico. [Epigraph.] In two volumes. Vol. I.	Bird, Robert Montgomery	1834	['Pencil']	['Words']	['v.2']	['Back of book. A reader\'s reactions. ""This man (Dr Bird) knows how to kill and bring to life again--with a vengance--""', 'Ends by quoting the proverb, ""People in glass houses, shouldn\'t throw stones!"']
376396	The hawks of hawk-hollow. A tradition of Pennsylvania. By the author of ""calavar,"" and ""the infidel."" [Epigraph.] In two volumes. Vol. I.	Bird, Robert Montgomery	1835	['Pencil']	['Words']	['v.2']	['""chemise"']
376788	The adventures of Robin Day. By the author of ""Calavar,"" ""Nick of the Woods,"" &c. [Epigraph.] In two volumes. Vol. I.	Bird, Robert Montgomery	1839	['Pencil']	['Numbers']	['v.2']	['On back flyleaf', 'Two columns of numbers (scores?), with the headings of ""Ella"" and ""Edie"']
377373	A sketch of the olden time; or, General Lee's farewell dinner, at New-York. Founded on fact. Being the first of a series of revolutionary tales. By an antiquary.	Bloodgood, S. DeWitt	1829	['Pencil']	['Words']		['Minimal notes alongside text, containing a few in-text edits.']
379836	Modern chivalry: containing the adventures of a captain, and Teague O'regan, his servant. By H.H. Brackenridge. [Epigraph.] Volume I.	Brackenridge, H. H	1804	['Pencil']			['Occasional underlining']
379944	The Mexican ranchero, or, the maid of the chapparal. [Illustration.] By Charles E. Averill, Author of the ' Secret Service Ship,' ' Corsair King,' &c.	Averill, Charles E	1847	['Pencil']	['Drawings']		['Title page']
380188	Tales of married life. By T. S. Arthur. Containing Married and single. Sweethearts and wives. Lovers and husbands.	Arthur, T. S	1850	['Pencil', 'Ink']	['Words']		['Front', 'Written in both ink and pencil, ""On the tree of life eternal --- Oh let all our hopes be laid. --- This alone for ever vernal --- Bears a leaf that shall not fade"" (hymn).', 'Signed ""Harriet B. Searle""; dated ""1850."']
440246	The wars of the gulls; an historical romance. In three chapters. Chap I. Shewing how, and with whom the gulls went to war. Chap. II. Shewing how the gulls make the deep to boil like a pot. Chap. III. Shewing how a certain doughty general of the gulls goes forth to play the game of hull-gull in upper Canada. 	Bigelow, Jacob	1812	['Pencil']	['Words']		['Canada, [illeg.] to 110 copies, 11/14 and 2.50']
440290	A few days in Athens, being the translation of a Greek manuscript discovered in Herculaneum. By Frances Wright, author of ""views of society and manners in America.""	Wright, Frances,	1822	['Pencil']	['Editorial markings']		['Numerous pages of the work have large sections of text underlined in pencil or pen.']
440295	Amabel; or, memoirs of a woman of fashion. By Mrs. Hervey, author of The Mourtray family, &c. In four volumes. Vol. I.	Hervey, Elizabeth	1814	['Pencil']	['Words']	['v.1']	['Marginalia appears infrequently; words are underlined or circled.']
