pub date	author name	title catalog
1714	"Manley,"	"The adventures of Rivella, or, The history of the author of the Atlantis : with secret memoirs and characters of several considerable persons her cotemporaries : deliver\'d in a conversation to the young Chevalier d\'Aumont in Somerset-House Garden, by Sir Charles Lovemore / done into English from the French."
1714	"Hamilton, Anthony,"	"Memoirs of the life of Count de Grammont : containing, in particular, the amorous intrigues of the court of England in the reign of King Charles II / translated from the French by Mr. Boyer."
1714	"Delany, Patrick,"	"The life of Aristides, the Athenian, who was decreed to be banish\'d for his justice / translated from an Arabick manuscript, suppos\'d to be written originally in Greek, by Theophrastus."
1714	"Hamilton, Anthony,"	"Memoirs of the life of Count de Grammont : containing, in particular, the amorous intrigues of the court of England in the reign of King Charles II / translated from the French by Mr. Boyer."
1715	"Olivier,"	"Memoirs of the life and adventures of Signor Rozelli at the Hague : giving a particular account of his birth, education, slavery, monastick state, imprisonment in the Inquisition at Rome, and the different figures he has since made, as well in Italy, as in England, France, and Holland : the whole being a series of the most diverting history, and surprizing events, ever yet made publick."
1715	"Barker, Jane."	"Exilius, or, The banish\'d Roman : a new romance : in two parts, written after the manner of Telemachus, for the instruction of some young ladies of quality / by Mrs. Jane Barker."
1715	"Burnet, Thomas,"	"A second tale of a tub, or, The history of Robert Powel, the puppet-show-man."
1715	"Burnet, Thomas,"	"A second tale of a tub, or, The history of Robert Powel, the puppet-show-man."
1715	"Quevedo, Francisco de,"	"The visions of dom Francisco de Quevedo Villegas, knight of the Order of St. James / made English by Sir Roger L\'Estrange ..."
1716	"Smith, Alexander,"	"The school of Venus, or, Cupid restor\'d to sight; : being a history of cuckolds and cuckold-makers, contain\'d in an account of the secret amours and pleasant intrigues of our British Kings, noblemen, and others; ... / by Capt. Alexander Smith."
1717	"Heliodorus,"	"The adventures of Theagenes and Chariclia : a romance, being the rise, progress, tryals and happy success of the heroic loves of those two illustrious persons : wherein the following histories are intermix\'d, I. The treacherous slave, or, Cruel Step-mother, II. The wandering prelate, III. The fighting priest, IV. The royal adultress : with several other curious events : in two volumes / written originally in Greek by Heliodorus ... in the fourth century of Christianity, who chose to be depriv\'d of his bishoprick rather than destroy this book, design\'d by him for the promotion of virtuous loves."
1717		"Court tales, or, A history of the amours of the present nobility : to which is added, a compleat key."
1717	"Ward, Edward,"	A collection of the writings of Mr. Edward Ward. ... Vol. II.
1718	"Behn, Aphra, "	Memoirs of the court of the king of Bantam.
1718	"Behn, Aphra, "	The adventure of the black lady.
1718	"Behn, Aphra, "	"The fair jilt; or, Prince Tarquin."
1718	"Behn, Aphra, "	The history of Oroonoko; or the royal slave.
1718	"Behn, Aphra, "	"The lover\'s watch; or, the art of making love: being rules for courtship for every hour of the day and night."
1718	"Behn, Aphra, "	The lucky mistake.
1718	"Behn, Aphra, "	"The nun; or, the perjured beauty."
1718	"Behn, Aphra, "	"Agnes de castro; or, the force of generous love."
1718	"Behn, Aphra, "	"The ladies looking-glass to dress themselves by; or, the whole art of charming all mankind."
1718	"Behn, Aphra"	[Novels]
1718	"Behn, Aphra, "	Memoirs of the court of the king of Bantam.
1718	"Behn, Aphra, "	The adventure of the black lady.
1718	"Behn, Aphra, "	"The fair jilt; or, Prince Tarquin."
1718	"Behn, Aphra, "	The history of Oroonoko; or the royal slave.
1718	"Behn, Aphra, "	"The lover\'s watch; or, the art of making love: being rules for courtship for every hour of the day and night."
1718	"Behn, Aphra, "	The lucky mistake.
