id	pub date	author name	title catalog
260869	1810	Richardson, Samuel,	Clarissa, or, The history of a young lady : comprehending the most important concerns of private life : and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage.
260870	1810	Richardson, Samuel,	The history of Sir Charles Grandison : in a series of letters / Samuel Richardson.
260871	1810	Defoe, Daniel,	The life and surprising adventures of Robinson Crusoe, of York, mariner : who lived eight-and-twenty years, all alone, on an uninhabited island, near the mouth of the great river Oroonoque : With an account of his travels round three parts of the globe / Written by himself.
260872	1810	Fielding, Henry	The history of the adventures of Joseph Andrews, and his friend, Mr. Abraham Adams : Written in imitation of the manner of Cervantes ... / by Henry Fielding.
260873	1810	Fielding, Henry	The history of Tom Jones, a foundling / Henry Fielding.
260874	1810	Reeve, Clara,	The Old English Baron : a Gothic story / [Clara Reeve]. The Castle of Otranto : a Gothic story / Horace Walpole, Earl of Orford.
260875	1810	Coventry, Francis,	The history of Pompey the Little, or the life and adventures of a lap-dog / by Mrs. Coventry. The Vicar of Wakefield : a tale. By Dr. Goldsmith.
260876	1810	Lennox, Charlotte	The female Quixote, or The adventures of Arabella / by Mrs. Lennox.
260877	1810	Johnson, Samuel	The history of Rasselas, prince of Abissinia / By Samuel Johnson. Almoran and Hamet : An oriental tale / By Dr. Hawkesworth.
260879	1810	Inchbald,	A simple story / by Mrs. Inchbald.
260880	1810	Mackenzie, Henry	The man of feeling : and Julia de Roubigné, a tale, in a  series of letters / by Henry Mackenzie, esq.
260881	1810	Smollett, Tobias George,	The expedition of Humphry Clinker / by the author of Roderick Random.
260882	1810	Graves, Richard,	The spiritual Quixote, or the summers̕ ramble of Mr. Geoffry   Wildgoose : a comic romance to which is prefixed the life of the author.
260883	1810	Moore, John,	Zeluco : various views of human nature, taken from life and  manners, foreign and domestic / by Dr. Moore.
260884	1810	Smith, Charlotte Turner,	The old manor house / By Charlotte Smith.
260885	1810	Burney, Fanny,	Evelina, or, The history of a young lady\'s introduction to the world.
260886	1810	Burney, Fanny,	Cecilia, or, Memoirs of an heiress / by the author of Evelina.
260887	1810	Radcliffe, Ann Ward,	"The romance of the forest : interspersed with some pieces of poetry / by the authoress of """"A Sicilian romance,"""" &c."""
