455	276083	 2 v. ;	520: 0/1				
456	276085	 viii, 151, [1] p. ;	520: 0/1				
457	276086	 [8], 958, [2] p. ;	520: 0/10	591: 0/1		595: 0/1	656: 0/1
458	276087	 4 v. ;	520: 1/2				
459	276088	 [24], 472 p. ;	520: 0/2				
460	276089	 2 v. ;					
461	276092	 3 v. ;	520: 0/2				
462	276093	 3 v. ;	520: 0/1				
463	276094	 4 p. l., 327 ( i. e. 331) p. 2 l., 217-544 (i. e. 548), 553-736   p.	520: 0/6				
464	276097	 4 v. ;	520: 0/2		594: 0/1		
465	276099	 xx, 314, [21] p.	520: 0/3				
466	276100	 [10], 575, [1] p., [1] leaf of plates :	520: 0/4			595: 0/6	656: 0/1
467	276101	 [30], 283 p. ;	520: 0/3			595: 0/1	
468	276102	 [12], 171, [13], 219, [17] p. ;	520: 0/5			595: 0/1	
469	276103	 2 v. ;					
470	276105	 2 v. ;					
471	276107	 [34], 305, [5] p. :	520: 0/3	591: 0/1			
472	276109	 5 v. ;	520: 0/1				
473	276110	 3 v. ;	520: 0/1				
474	276113	 3 v. ;					
475	276114	 4 v. ;	520: 0/3				
476	276115	 2 p. l., v-xvi, 368 p. ;	520: 0/1				656: 0/1
477	276116	 [4], vii, [1], 120 p. ;	520: 0/1	591: 0/1			
478	276117	 2 v. ;					
479	276118	 2 v. ;	520: 0/2				
480	276120	 2 v. ;	520: 0/2				656: 0/2
481	276121	 iv, 87, [1], 104, [16], 18, [2] p., [1] leaf of plates :	520: 0/6				656: 0/1
482	276122	 2 v. ;	520: 0/3				656: 0/1
483	276123	 [12], 323, [1] p. ;	520: 0/4				
484	276124	 xix, [5], 320 p., [4] leaves of plates :	520: 0/4	591: 0/1			
485	276126	 xix, [4], 320 p., [5] leaves of plates :	520: 0/4	591: 0/1			
486	276127	 4 v. ;		591: 0/1			
487	276128	 2 v. ;		591: 0/1			
488	276130	 [4], 271, [1] p. ;	520: 0/1				656: 0/2
489	276131	 2 v. ;					
490	276133	 294 p. ;	520: 0/1				656: 0/1
491	276134	 [6], 330, [2] p. (the last leaf blank), [1] leaf of plates :	520: 0/3		594: 0/1		
492	276135	 2 v. ;	520: 1/2				
493	276136	 [2], 50 p. ;	520: 0/1				
494	276139	 2 v. ;	520: 0/1				
495	276140	 2 v. ;	520: 0/1				
496	276142	 3 v. ;	520: 0/2				656: 0/2
497	276148	 3 v. ;	520: 0/3				656: 0/1
498	276150	 3 v. ;					
499	276155	 3 v. ;	520: 0/1		594: 0/1	595: 0/2	
500	276156	 [16], 270, 84, [i.e. 86], [2] p., [1] folded leaf of plates :	520: 0/2				656: 0/1
