Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7
1089	440365	[1, 2, 1, 1, 2]	2	[i]-vii, [1]-262, v.1; 1-315, v.2	['1', '262', '1', '1', '315', '2']	1
1090	440366	[1, 2, 1, 1, 2]	2	[i] - viii. 1 - 262; v.1	['1', '262', '1']	1
1091	440367	[3, 4, 4, 4, 3, 3, 4, 4]	4	[i]-xiv, 25-203; v.3	['25', '203', '3']	25
1096	440372	[1, 2, 3, 1, 1, 2, 3]	3	[i]-x,[1]-285; v. 1	['1', '285', '1']	1
1097	440373	[1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2]	2	[i]-viii, 1-464, v.1; i-ix, 1-98, 1-20, 1-146, [1]-61, [1]-97, [1]-87, v.2	['1', '464', '1', '1', '98', '1', '20', '1', '146', '1', '61', '1', '97', '1', '87', '2']	1
1100	440376	[1, 2, 1, 2]	2	[1]-295, v.1; [1]-299, v.2	['1', '295', '1', '1', '299', '2']	1
1101	440377	[1, 1, 2, 3, 1, 2, 3]	3	[i]-iv, [1]-288, v.1; [i]-iv, [1]-269, v.2; [i]-iv, [1]-311, v.3	['1', '288', '1', '1', '269', '2', '1', '311', '3']	1
1104	440380	[1, 2, 1, 1, 1, 1, 2]	2	[i]-vii, [1]- 280; v.1 [1]- 247; v.2	['1', '280', '1', '1', '247', '2']	1
1109	440388	[1, 2, 1, 2]	2	[1] - 329, 430-435; v.1	['1', '329', '430', '435', '1']	1
1111	440390	[1, 2, 1, 2]	2	[1]-316, v.1 ; [1]-315, v. 2	['1', '316', '1', '1', '315', '2']	1
1116	440394	[1, 2, 3, 4, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4]	4	[1]-352, v.1; [1]-301, v.2; [1]-321, v.3; [1]-282, v.4	['1', '352', '1', '1', '301', '2', '1', '321', '3', '1', '282', '4']	1
1117	440395	[1, 2, 3, 4, 1, 2, 3, 4, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4]	4	[1]-356, v.1; [1]-408, v.2; [1]-312, v.3; [1]-363, v.4	['1', '356', '1', '1', '408', '2', '1', '312', '3', '1', '363', '4']	1
1126	440406	[1, 2, 3, 1, 2, 3, 3]	3	[1]-346, v.1 	['1', '346', '1']	1
1127	440407	[1, 2, 1, 1, 1, 2, 2]	2	[i] - viii; [1] - 265; v.1 	['1', '265', '1']	1
1128	440408	[1, 2, 1, 1, 1, 2, 2]	2	[i] - viii; [1] - 265; v.1 [i] - viii; [1] - 303; v.2 	['1', '265', '1', '1', '303', '2']	1
1129	440409	[1, 2, 3, 1, 2, 3, 3]	3	[1]-323, v.1; [1]-431, v.2; [1]-369, v.3	['1', '323', '1', '1', '431', '2', '1', '369', '3']	1
