id	title	author	date	other works	nouns	adjectives	places	persons	verbs	material objects	adverbs
440321	The surprising adventures of Bampfylde Moore Carew, king of the beggars containing his life a dictionary of the Cant Language and many entertaining particulars of that extraordinary man. A new edition corrected & much improved.		1812		['Adventure', 'Beggar', 'Dictionary', 'Edition', 'King', 'Language', 'Life', 'Man', 'Particular']	['Cant', 'Containing', 'Corrected', 'Entertaining', 'Extraordinary', 'Improved', 'Many', 'New', 'Surprising']		['Bampfylde Moore Carew']			
440325	Memoirs of the life of Parnese, a Spanish lady of vast fortune. Written by herself: shewing the irresistable force of education: with a true account of the hardships she suffered, in man's apparel, for eight years, in different countries, in the prosecution of a virtuous amour with Rockbartez; her escape from slavery with Sarpeta, her master's daughter; their flight into Persia; her accidental marriach there to Rockbartez; and return. Interspersed with the story of Beaumont and Sarpeta. Translated from the Spanish manuscript, by R. P. Gent. 	Paltock, Robert	1751		['Account', 'Amour', 'Apparel', 'Country', 'Daughter', 'Education', 'Escape', 'Flight', 'Force', 'Fortune', 'Hardship', 'Herself', 'Lady', 'Life', 'Man', 'Manuscript', 'Marriage', 'Master', 'Memoir', 'Prosecution', 'Slavery', 'Story', 'Year']	['Accidental', 'Different', 'Eight', 'Irresistable', 'Man', 'Spanish', 'True', 'Vast', 'Virtuous']	['Persia']	['Beaumont', 'Parnese', 'R.P. Gent', 'Rockbartez', 'Sarpeta']	['Escape', 'Flight', 'Intersperse', 'Return', 'Shew', 'Show', 'Suffer', 'Translate', 'Write']		
440326	Memoirs of a man of pleasure, or the adventures of Versorand. Volume I. 	La Solle, Henri-Fran√ßois de,	1751		['Adventure', 'Man', 'Memoir', 'Pleasure', 'Volume']			['Versorand']			
440327	Memoirs of a Coxcomb.	Cleland, John	1751		['Coxcomb', 'Memoir']						
440328	Memoirs of a man of pleasure, or the adventures of Versorand. Volume I. The third edition. 	La Solle, Henri-Fran√ßois de,	1751		['Adventure', 'Edition', 'Man', 'Memoir', 'Pleasure', 'Volume']	['Third']		['Versorand']			
440329	Memoirs of the life and actions of Charles Osborn, Esq; natural son to the E--l of A---e. Containing an account of his polite education; his loss of a vast estate left him by his father; his distress, till relieved by an unknown lady, by whom he had seven children before he ever saw her; his extravagancies; his eight several marriages; his intrigues; his turning priest; with the vast fluctuation of his fortune, till resolving to live soberly, he not only married the unknown lady, but became possessed of the great estate he had lost; and made restitution. Written by himself in the decline of life.		1752		['Account', 'Action', 'Child', 'Decline', 'Distress', 'Education', 'Estate', 'Extravagancy', 'Father', 'Fluctuation', 'Fortune', 'Intrigue', 'Lady', 'Life', 'Loss', 'Marriage', 'Memoir', 'Priest', 'Restitution', 'Son']	['Eight', 'Great', 'Left', 'Natural', 'Polite', 'Seven', 'Several', 'Unknown', 'Vast', 'Written']		['Charles Osborn', 'E---l of A---e']	['Have', 'Live', 'Lose', 'Make', 'Marry', 'Possess', 'Relieve', 'Resolve', 'See', 'Turn']	['Estate', 'Memoir']	['Ever', 'Soberly']
440330	The memoirs of Fidelio and Harriot: wherein the contrast between virtue and vice is fully exhibited from a real fact, transacted in the year 1720. Preserved in the original manuscript of Mrs. Harvey.		1753		['1720', 'Contrast', 'Fact', 'Manuscript', 'Memoir', 'Vice', 'Virtue', 'Year']	['Original', 'Preserved', 'Real', 'Transacted']		['Fidelio', 'Harriot', 'Mrs. Harvey']	['Exhibit']	['Manuscript', 'Memoir']	
440331	The wanderings of the heart and mind: or memoirs of Mr. de Meilcour.  Translated from the French of Mr. de Crebillon the Son.	CrÈbillon, Claude-Prosper Jolyot de	1751		['French', 'Heart', 'Memoir', 'Mind', 'Son', 'Wandering']	['Translated']		['Mr. de Crebillon the Son', 'Mr. de Meilcour']		['Heart', 'Memoir']	
440332	Modern chivalry, containing the adventures of a captain, and Teague O'Regan, his servant.	Brackenridge, H. H	1825		['Adventure', 'Captain', 'Chivalry', 'Servant']	['Modern']		['H. H. Brackenridge', "Teague O'Regan"]	['Contain']		
440333	Simple Tales: by Mrs. Opie. In four volumes. Vol. I. 	Opie, Amelia	1806		['Tale', 'Volume']	['Four', 'Simple']		['Mrs. Opie']			
440334	New tales.  By Mrs. Opie.  In four volumes.  Vol. I.	Opie, Amelia	1818		['Tale']	['New']		['Mrs. Opie']			
