id	author name	title catalog	pub date
276122	Kimber, Edward	The life and adventures of Joe Thompson : a narrative founded on fact / written by Himself : in two volumes.	1750
276123		The History of Tom Jones the foundling, in his married state.	1750
276124	Bond, William	The history of the life and adventures of Mr. Duncan Campbell : a gentleman, who, tho\\\' deaf and dumb, writes down any stranger\\\'s name at first sight, with their future contingencies of fortune : now living in Exeter Court over-against the Savoy in the Strand.	1720
276126	Bond, William	The history of the life and adventures of Mr. Duncan Campbell : a gentleman, who tho\\\' deaf and dumb, writes down any stranger\\\'s name at first sight: with their future contingencies of fortune. Now living in Exeter-Court over-against the Savoy in the Strand.	1720
276127		The History of Sir William Harrington / written some years since, and revised and corrected by the late Mr. Richardson ... : in four volumes.	1772
276128		The History of Eliza Warwick : in two volumes.	1778
276130	Scott, Sarah	The history of Cornelia.	1750
276131		The History of Charlotte Summers, the fortunate parish girl ... : in two volumes.	1750
276133		The History and adventures of Don Alphonso Blas de Lirias, son of Gil Blas of Santillane / translated from the Spanish original.	1741
276135	Young lady	The example, or The history of Lucy Cleveland / by a young lady.	1778
276136	Lyttelton, George Lyttelton	The court-secret : a melancholy truth : now first translated from the original Arabic / by an adept in the oriental tongues.	1741
276139		The Adventures of Mr. Loveill : interspers\\\'d with many real amours of the modern polite world.	1750
276140		The Adventures of Mr. Loveill : interspers\\\'d with many real amours of the modern polite world.	1750
276156	Defoe, Daniel	Serious reflections during the life and surprising adventures of Robinson Crusoe : with his Vision of the angelick world / written by himself.	1720
276157	Lambert de Saumery, Pierre	The devil turn\\\'d hermit, or, The adventures of Astaroth banish\\\'d from hell : A satirical romance ... / Translated from the original French of Mr. de M * * *.	1741
276158	Le Noble, Eustache	Pure love : a novel : being the history of the Princess Zulima, the beautiful daughter of the Sultan of Egypt ... / translated from the French of Monsieur le Noble.	1750
276159	Rabelais, FranÁois	The works of Francis Rabelais, M.D. / Formerly translated by Sir Thomas Urquart, M.D. and explained by Mr. Motteux ; since carefully revised, and compared throughout with M. le Du Chat\\\'s edition, by Mr. Ozell, who has likewise added, at the bottom of the pages, a translation of the notes, historical, critical and explanatory, of the said M. le Du Chat, and others ; in which notes, the text is not only explained, but, in multitudes of places, amended, and made conformable to the first and best editions of this learned and facetious author.	1750
340844		The Advantages of deliberation, or The folly of indiscretion : in two volumes.	1772
340846	Bridges, Thomas	The adventures of a bank-note : in two volumes.	1770
340848	Mackenzie, Henry	The man of feeling.	1771
340850		The adventures of a hackney coach.	1781
340854	Scott, Helenus	The adventures of a rupee : wherein are interspersed various anecdotes Asiatic and European.	1782
340856	Scott, Helenus	The adventures of a rupee : wherein are interspersed various anecdotes Asiatic and European.	1782
340910	Scott, Helenus	The adventures of an East-India rupee. Wherein are interspersed, various anecdotes Asiatic and European ...	1783
340911		The Adventures of a cork-screw : in which, under the pleasing method of a romance, the vices, follies and manners of the present age are exhibited and satirically delineated : interspersed with striking anecdotes,  characters and actions of persons in real life : all drawn to promote virtue, expose vice, and laugh folly out of countenance.	1775
341318	Smollett, Tobias George	The adventures of Roderick Random : in two volumes.	1770
341331	FeÃÅnelon, FrancÃßois de Salignac de La Mothe-	The adventures of Telemachus, the son of Ulysses, King of Ithaca, &c. in Greece, and one of the princes who conducted the Seige of Troy : complete in twenty-four books : originally written in French, not only for the use and instruction of the Dauphin of France, to guard him, in an allegorical way, against forming his conduct after the bad example of his grandfather Lous XIV, but also to promote the happiness of mankind in general / by Francis Salignac de La Motte Fenelon ... ; now newly translated from the best Paris and other editions, by William Henry Melmoth, Esq. ... ; to which are added, the life of the original author, the heads and arguments of each book at large, and a great variety of notes ... calculated to gratify every class of readers.	1770
341332		The Affected indifference : a novel.	1771
341334		The American wanderer, through various parts of Europe, in a series of letters to a lady (interspersed with a variety of interesting anecdotes) By a Virginian.	1783
341336		Anecdotes of a convent / by the author of Memoirs of Mrs. Williams : in three volumes.	1771
341339		Anna : a sentimental novel, in a series of letters : in two volumes.	1782
341340		Arabian nights entertainments : consisting of one thousand and one stories told by the Sultaness of the Indies to divert the Sultan from the execution of a bloody vow he had made to marry a lady every day and have her cut off next morning, to avenge himself for the disloyalty of his first sultaness, &c. : containing a better account of the customs, manners and religion of the eastern nations, viz. Tartars, Persians, and Indians, than is to be met with in any author hitherto published / translated into French from the Arabian MSS. by M. Galland ... and now done into English from the last Paris edition.	1772
341342	Potter, John	The history of the adventures of Arthur O\\\'Bradley, &c. : a novel / by John Potter.	1771
341344		The Birmingham counterfeit, or Invisible spectator : a sentimental romance : in two volumes.	1772
341345		Blandford races : a novel, in two volumes.	1782
341346	Mackenzie, Anna Maria	Burton-Wood : in a series of letters / by a lady.	1783
